#Creator: pendulumviewEventBuffer
#Creation time: Fri Mar 15 09:51:11 2024
#Time A	Pos A	Time B	Pos B
#[s]	[au]	[s]	[au]
39.158	419	39.184	426
39.209	439	39.234	449
39.260	461	39.285	473
39.310	484	39.336	496
39.361	506	39.387	520
39.411	527	39.437	541
39.463	544	39.488	557
39.513	559	39.538	571
39.564	569	39.590	579
39.614	574	39.640	581
39.665	574	39.691	579
39.715	568	39.741	572
39.767	559	39.792	559
39.817	544	39.842	543
39.868	526	39.894	522
39.918	505	39.944	500
39.969	483	39.995	475
40.020	461	40.045	451
40.071	439	40.096	428
40.122	420	40.147	409
40.172	403	40.198	389
40.223	390	40.248	379
40.274	380	40.299	370
40.325	376	40.349	368
40.375	376	40.401	371
40.426	381	40.451	379
40.476	392	40.502	392
40.528	405	40.552	409
40.578	421	40.603	429
40.629	442	40.653	452
40.679	463	40.705	476
40.730	484	40.755	500
40.780	506	40.806	522
40.832	527	40.856	542
40.882	544	40.907	558
40.933	557	40.958	571
40.983	567	41.009	578
41.034	572	41.059	580
41.085	572	41.110	577
41.136	567	41.160	570
41.186	557	41.212	555
41.237	541	41.262	539
41.287	524	41.313	518
41.339	504	41.363	496
41.389	482	41.414	471
41.440	460	41.464	448
41.490	439	41.516	426
41.541	420	41.566	407
41.591	404	41.617	391
41.643	391	41.667	379
41.693	381	41.718	371
41.744	378	41.769	369
41.794	378	41.820	373
41.845	383	41.870	382
41.896	392	41.921	395
41.947	407	41.971	412
41.997	423	42.023	433
42.048	443	42.073	456
42.098	464	42.124	479
42.150	485	42.174	502
42.200	507	42.225	523
42.251	527	42.275	542
42.301	543	42.327	558
42.352	557	42.377	571
42.402	566	42.428	576
42.454	571	42.478	577
42.504	570	42.529	574
42.555	565	42.580	566
42.605	555	42.631	552
42.656	542	42.681	536
42.707	523	42.732	515
42.758	501	42.782	493
42.808	482	42.834	470
42.859	459	42.884	447
42.909	439	42.935	425
42.961	420	42.985	406
43.011	404	43.036	390
43.062	392	43.086	379
43.112	383	43.138	372
43.163	379	43.189	372
43.213	380	43.239	377
43.265	385	43.290	385
43.315	395	43.340	399
43.366	408	43.392	416
43.416	425	43.442	437
43.467	445	43.493	459
43.518	464	43.543	482
43.569	487	43.594	504
43.619	507	43.645	526
43.670	527	43.696	544
43.720	543	43.746	558
43.772	556	43.797	570
43.822	565	43.847	575
43.873	569	43.899	575
43.923	569	43.949	571
43.974	563	44.000	562
44.024	553	44.050	549
44.076	538	44.101	532
44.126	520	44.151	512
44.177	501	44.203	490
44.227	479	44.253	467
44.278	459	44.304	445
44.329	438	44.354	424
44.380	420	44.405	405
44.430	404	44.456	390
44.481	393	44.507	381
44.531	384	44.557	376
44.583	380	44.608	374
44.633	381	44.658	379
44.684	386	44.710	389
44.734	396	44.760	402
44.785	410	44.811	420
44.835	426	44.861	440
44.887	446	44.912	462
44.937	467	44.962	484
44.988	488	45.014	507
45.038	509	45.064	527
45.089	527	45.115	544
45.140	543	45.165	559
45.191	556	45.216	568
45.241	564	45.267	573
45.292	568	45.318	573
45.342	568	45.368	568
45.394	561	45.419	560
45.444	552	45.469	546
45.495	537	45.521	528
45.545	520	45.571	509
45.596	500	45.622	487
45.646	478	45.672	465
45.698	458	45.723	443
45.748	437	45.773	423
45.799	420	45.825	406
45.849	405	45.875	391
45.900	392	45.926	382
45.951	385	45.976	378
46.002	382	46.027	377
46.052	383	46.078	383
46.103	388	46.129	392
46.153	398	46.179	406
46.205	412	46.230	424
46.255	428	46.280	442
46.306	447	46.332	465
46.356	467	46.382	486
46.407	489	46.433	508
46.458	509	46.483	528
46.509	528	46.534	544
46.559	543	46.584	558
46.610	556	46.636	567
46.660	564	46.686	572
46.711	568	46.737	571
46.762	566	46.787	566
46.813	560	46.838	557
46.863	550	46.889	541
46.914	536	46.940	523
46.964	518	46.990	505
47.016	498	47.041	484
47.066	478	47.091	462
47.117	457	47.143	441
47.167	438	47.193	421
47.218	420	47.244	405
47.269	405	47.294	392
47.320	394	47.345	383
47.370	385	47.395	377
47.421	383	47.447	380
47.471	384	47.497	387
47.522	389	47.548	395
47.573	400	47.598	409
47.624	413	47.649	428
47.675	430	47.700	447
47.725	448	47.751	468
47.776	469	47.801	490
47.827	490	47.852	510
47.878	510	47.902	529
47.928	527	47.954	545
47.979	544	48.004	557
48.029	554	48.055	566
48.081	563	48.105	570
48.131	567	48.156	569
48.182	565	48.206	563
48.232	559	48.258	554
48.283	549	48.308	538
48.333	534	48.359	522
48.385	517	48.409	502
48.435	497	48.460	482
48.486	476	48.511	460
48.536	455	48.562	440
48.587	436	48.612	421
48.638	419	48.663	405
48.689	405	48.713	393
48.739	393	48.765	385
48.790	385	48.815	382
48.840	384	48.866	383
48.892	384	48.916	389
48.942	391	48.967	397
48.993	401	49.018	412
49.043	415	49.069	431
49.094	432	49.119	449
49.144	450	49.170	470
49.196	470	49.220	491
49.246	491	49.271	512
49.297	511	49.322	530
49.347	529	49.373	544
49.398	543	49.423	557
49.449	556	49.474	564
49.500	563	49.524	567
49.550	567	49.576	566
49.601	564	49.626	560
49.651	558	49.677	549
49.703	547	49.727	536
49.753	533	49.778	520
49.804	515	49.829	500
49.854	495	49.880	480
49.905	475	49.930	460
49.955	455	49.981	439
50.007	435	50.031	421
50.057	418	50.082	406
50.108	404	50.133	394
50.158	394	50.184	387
50.209	387	50.234	384
50.260	384	50.285	386
50.311	386	50.335	391
50.361	393	50.387	403
50.412	403	50.437	416
50.462	417	50.488	433
50.514	433	50.538	452
50.564	452	50.589	473
50.615	473	50.640	492
50.665	493	50.691	512
50.716	512	50.742	530
50.766	531	50.792	544
50.818	544	50.843	556
50.868	557	50.893	562
50.919	564	50.945	565
50.969	566	50.995	563
51.020	562	51.046	557
51.071	556	51.096	546
51.122	545	51.147	533
51.172	531	51.198	516
51.223	513	51.249	497
51.273	493	51.299	476
51.325	474	51.350	457
51.375	453	51.400	438
51.426	434	51.452	421
51.476	417	51.502	407
51.527	404	51.553	395
51.578	394	51.603	389
51.629	387	51.654	386
51.679	384	51.704	389
51.730	387	51.756	395
51.780	393	51.806	405
51.831	405	51.857	419
51.882	418	51.907	436
51.933	435	51.958	456
51.983	454	52.009	475
52.034	474	52.060	495
52.084	495	52.110	513
52.136	514	52.161	530
52.186	531	52.211	544
52.237	545	52.263	554
52.287	557	52.313	561
52.338	563	52.364	562
52.389	564	52.414	560
52.440	562	52.465	554
52.490	555	52.515	544
52.541	543	52.567	530
52.591	530	52.617	513
52.642	511	52.668	495
52.693	492	52.718	475
52.744	471	52.769	456
52.794	451	52.820	437
52.845	433	52.871	422
52.895	417	52.921	408
52.947	403	52.972	397
52.997	393	53.022	391
53.048	387	53.074	390
53.098	385	53.124	391
53.149	389	53.175	398
53.200	396	53.225	408
53.251	406	53.276	422
53.301	421	53.326	439
53.352	437	53.378	458
53.402	456	53.428	477
53.453	477	53.479	496
53.504	496	53.529	512
53.555	516	53.580	529
53.605	533	53.631	543
53.656	547	53.682	554
53.706	557	53.732	559
53.758	562	53.783	560
53.808	565	53.833	558
53.859	561	53.885	551
53.909	553	53.935	541
53.960	542	53.986	527
54.011	526	54.036	511
54.062	509	54.087	493
54.112	489	54.138	474
54.163	469	54.189	455
54.213	449	54.239	437
54.264	431	54.290	421
54.315	415	54.340	408
54.366	402	54.391	399
54.417	393	54.442	393
54.467	388	54.493	392
54.518	387	54.543	394
54.569	390	54.594	401
54.620	397	54.644	411
54.670	409	54.696	425
54.721	424	54.746	442
54.771	441	54.797	459
54.823	460	54.847	478
54.873	479	54.898	496
54.924	499	54.949	514
54.974	518	55.000	529
55.025	534	55.050	542
55.075	547	55.101	552
55.127	557	55.151	557
55.177	562	55.202	558
55.228	563	55.253	555
55.278	559	55.304	549
55.329	552	55.354	538
55.380	540	55.405	525
55.431	524	55.455	509
55.481	507	55.507	491
55.532	486	55.557	473
55.582	466	55.608	455
55.634	446	55.658	437
55.684	430	55.709	422
55.735	415	55.760	408
55.785	402	55.811	401
55.836	393	55.861	394
55.886	389	55.912	394
55.938	388	55.962	397
55.988	392	56.013	404
56.039	399	56.064	414
56.089	411	56.115	427
56.140	425	56.165	443
56.191	442	56.216	461
56.242	461	56.266	479
56.292	481	56.318	496
56.343	501	56.368	514
56.393	519	56.419	528
56.445	535	56.469	541
56.495	548	56.520	549
56.546	557	56.571	554
56.596	562	56.622	556
56.647	562	56.672	553
56.698	558	56.723	546
56.749	550	56.773	536
56.799	537	56.824	522
56.850	522	56.875	507
56.900	503	56.926	490
56.951	484	56.976	472
57.002	463	57.027	454
57.053	446	57.077	437
57.103	428	57.129	422
57.154	413	57.179	410
57.204	402	57.230	402
57.256	393	57.280	398
57.306	389	57.331	395
57.357	389	57.382	400
57.407	394	57.433	406
57.458	403	57.484	417
