#Creator: pendulumviewEventBuffer
#Creation time: Fri Mar 15 10:39:05 2024
#Time A	Pos A	Time B	Pos B
#[s]	[au]	[s]	[au]
41.186	535	41.211	483
41.236	533	41.262	460
41.288	527	41.312	440
41.338	522	41.363	423
41.389	515	41.413	412
41.439	508	41.465	405
41.490	499	41.516	404
41.540	491	41.566	410
41.592	483	41.617	421
41.642	476	41.667	435
41.693	470	41.719	454
41.743	466	41.769	476
41.794	464	41.820	500
41.845	463	41.870	526
41.896	463	41.921	549
41.946	467	41.972	570
41.997	473	42.023	588
42.047	480	42.073	602
42.099	488	42.124	612
42.149	497	42.174	618
42.200	507	42.226	614
42.250	517	42.276	609
42.301	526	42.327	598
42.351	533	42.377	583
42.403	540	42.428	564
42.453	544	42.478	542
42.504	548	42.530	519
42.554	547	42.580	495
42.605	545	42.631	472
42.656	540	42.681	452
42.707	533	42.732	435
42.757	524	42.783	422
42.808	514	42.834	414
42.858	504	42.884	410
42.910	493	42.935	413
42.960	482	42.985	421
43.011	473	43.037	433
43.061	464	43.087	450
43.112	458	43.138	470
43.162	454	43.188	491
43.214	452	43.239	514
43.264	452	43.289	536
43.315	456	43.341	557
43.365	461	43.391	576
43.416	470	43.442	592
43.467	480	43.492	602
43.518	491	43.543	609
43.568	503	43.594	610
43.619	515	43.645	606
43.669	527	43.695	597
43.721	537	43.746	585
43.771	545	43.796	569
43.822	552	43.848	549
43.872	556	43.898	527
43.923	557	43.949	506
43.973	555	43.999	484
44.025	550	44.050	464
44.075	544	44.100	448
44.126	534	44.152	433
44.176	523	44.202	423
44.227	511	44.253	418
44.278	497	44.303	418
44.329	484	44.354	423
44.379	471	44.405	433
44.430	461	44.456	446
44.480	453	44.506	464
44.532	446	44.557	483
44.582	442	44.607	504
44.633	442	44.659	525
44.683	444	44.709	546
44.734	451	44.760	564
44.785	459	44.810	579
44.836	470	44.861	592
44.886	483	44.911	598
44.937	497	44.963	602
44.987	510	45.013	602
45.038	525	45.064	593
45.089	537	45.114	585
45.140	549	45.165	571
45.190	557	45.216	554
45.241	564	45.267	535
45.291	566	45.317	515
45.343	565	45.368	495
45.393	562	45.418	475
45.444	555	45.470	458
45.494	544	45.520	445
45.545	532	45.571	434
45.596	518	45.621	429
45.647	503	45.672	425
45.697	489	45.722	428
45.748	473	45.774	435
45.798	460	45.824	447
45.849	449	45.875	461
45.900	440	45.925	478
45.951	435	45.976	496
46.002	433	46.027	515
46.052	435	46.078	534
46.103	440	46.128	552
46.154	448	46.179	567
46.205	460	46.229	579
46.255	474	46.281	587
46.306	489	46.331	593
46.356	505	46.382	593
46.408	521	46.432	590
46.458	536	46.483	582
46.509	549	46.533	571
46.559	561	46.585	558
46.610	569	46.635	541
46.660	573	46.686	523
46.712	574	46.736	505
46.762	571	46.787	487
46.813	565	46.838	471
46.863	556	46.889	457
46.914	542	46.939	446
46.965	527	46.990	439
47.016	511	47.040	436
47.066	493	47.092	435
47.117	477	47.142	440
47.167	462	47.193	448
47.219	448	47.243	460
47.269	437	47.294	474
47.320	431	47.345	490
47.370	426	47.396	507
47.421	426	47.446	525
47.471	431	47.497	540
47.523	438	47.547	555
47.573	449	47.598	568
47.624	464	47.649	576
47.674	480	47.700	582
47.725	498	47.750	583
47.776	516	47.801	582
47.827	533	47.851	577
47.877	549	47.903	569
47.928	562	47.953	558
47.978	572	48.004	544
48.030	579	48.054	529
48.080	582	48.105	513
48.131	580	48.156	497
48.181	574	48.207	482
48.232	565	48.257	470
48.282	552	48.308	458
48.334	537	48.358	451
48.384	519	48.409	446
48.435	500	48.460	445
48.485	482	48.511	448
48.536	465	48.561	453
48.587	449	48.612	462
48.638	436	48.662	473
48.688	425	48.714	487
48.739	421	48.764	501
48.789	418	48.815	516
48.841	422	48.865	530
48.891	428	48.916	543
48.942	440	48.967	555
48.992	454	49.018	564
49.043	470	49.069	570
49.093	489	49.119	574
49.145	509	49.170	574
49.195	528	49.220	570
49.246	545	49.272	564
49.296	561	49.322	556
49.347	573	49.373	545
49.398	583	49.423	532
49.449	587	49.474	519
49.499	589	49.525	506
49.550	583	49.576	494
49.600	574	49.626	480
49.652	562	49.677	469
49.702	547	49.727	463
49.753	528	49.779	458
49.803	509	49.829	455
49.854	488	49.880	456
49.905	469	49.930	459
49.956	452	49.981	466
50.006	437	50.031	475
50.057	425	50.083	486
50.107	416	50.133	496
50.158	412	50.184	509
50.209	414	50.234	522
50.260	420	50.285	533
50.310	430	50.336	543
50.361	444	50.387	552
50.411	461	50.437	558
50.463	479	50.488	562
50.513	500	50.538	563
50.564	520	50.590	562
50.614	540	50.640	558
50.665	558	50.691	551
50.716	572	50.741	543
50.767	584	50.792	534
50.817	591	50.842	523
50.868	592	50.894	512
50.918	590	50.944	501
50.969	583	50.995	491
51.020	572	51.045	482
51.071	556	51.096	476
51.121	538	51.147	470
51.172	519	51.198	466
51.222	498	51.248	466
51.274	477	51.299	468
51.324	457	51.349	472
51.375	440	51.401	479
51.425	427	51.451	487
51.476	416	51.502	495
51.527	411	51.552	504
51.578	409	51.603	514
51.628	412	51.653	524
51.679	422	51.705	533
51.729	435	51.755	540
51.780	451	51.806	546
51.831	470	51.856	550
51.882	491	51.907	552
51.932	512	51.958	552
51.983	533	52.009	549
52.033	553	52.059	545
52.085	570	52.110	540
52.135	582	52.160	533
52.186	592	52.212	524
52.236	594	52.262	516
52.287	595	52.313	508
52.338	590	52.363	500
52.389	579	52.414	492
52.439	566	52.465	486
52.490	547	52.516	481
52.540	528	52.566	480
52.591	506	52.617	477
52.642	485	52.667	479
52.693	463	52.718	480
52.744	445	52.769	484
52.794	429	52.820	489
52.845	417	52.870	496
52.896	410	52.921	502
52.947	406	52.971	509
52.997	409	53.023	517
53.048	416	53.073	523
53.098	427	53.124	528
53.150	443	53.174	533
53.200	461	53.225	538
53.251	482	53.276	540
53.301	503	53.327	541
53.352	525	53.377	540
53.402	546	53.428	538
53.454	564	53.478	534
53.504	578	53.529	530
53.555	589	53.580	525
53.605	596	53.631	519
53.656	599	53.681	513
53.707	594	53.732	507
53.758	585	53.782	502
53.808	572	53.834	497
53.859	557	53.884	495
53.909	537	53.935	490
53.961	516	53.985	488
54.011	493	54.036	488
54.062	472	54.087	490
54.112	452	54.138	492
54.163	434	54.188	494
54.213	420	54.239	498
54.265	410	54.289	502
54.315	406	54.340	507
54.366	406	54.391	512
54.416	411	54.442	516
54.467	420	54.492	519
54.518	435	54.543	524
54.569	452	54.593	526
54.619	473	54.645	527
54.670	494	54.695	529
54.720	517	54.746	529
54.772	538	54.796	529
54.822	557	54.847	527
54.873	573	54.898	525
54.923	586	54.949	522
54.974	595	54.999	519
55.025	597	55.050	515
55.076	597	55.100	513
55.126	590	55.151	510
55.177	579	55.202	506
55.227	564	55.253	504
55.278	545	55.303	502
55.329	525	55.354	500
55.380	502	55.404	500
55.430	481	55.456	499
55.481	459	55.506	501
55.531	442	55.557	501
55.583	425	55.607	503
55.633	414	55.658	504
55.684	407	55.709	507
55.734	405	55.760	508
55.785	409	55.811	511
55.836	416	55.861	512
55.887	428	55.912	512
55.937	445	55.962	515
55.988	464	56.014	517
56.038	485	56.064	518
56.089	507	56.115	518
56.140	529	56.165	518
56.191	550	56.216	519
56.241	566	56.267	518
56.292	582	56.318	517
56.342	591	56.368	517
56.394	597	56.419	516
56.444	597	56.469	516
56.495	593	56.521	514
56.545	584	56.571	514
56.596	570	56.622	513
56.647	553	56.672	514
56.698	533	56.723	512
56.748	512	56.773	511
56.799	489	56.825	511
56.849	469	56.875	509
56.900	449	56.926	510
56.951	433	56.976	509
57.002	419	57.027	509
57.052	411	57.078	509
57.103	407	57.129	507
57.153	407	57.179	508
57.205	414	57.230	507
57.255	424	57.280	507
57.306	439	57.332	507
57.356	456	57.382	506
57.407	477	57.433	507
57.458	498	57.483	508
